hombre	personas	D	etnia	Z	ocupado_jefe	ingreso_jefe_hogar
0.00	4.00	0.00	0.00	-1,385393977	0.00	123,3000031
1.00	3.00	0.00	1.00	-0,8721838	0.00	50.00
1.00	9.00	0.00	1.00	-1,585653305	1.00	19,5
1.00		0.00	1.00	0,89229399	1.00	103,5
1.00	7.00	0.00	0.00	-0,772169054	0.00	165.00
1.00	6.00	0.00	1.00	-1,928423285	1.00	21,5
1.00	6.00	0.00	1.00	-0,860665441	1.00	40,79999924
1.00	6.00	0.00	0.00	0,156120613	1.00	165,8099976
1.00	4.00	0.00	1.00	-1,638796926	0.00	29,5
0.00	5.00	0.00	1.00	-1,606810689	1.00	59,5
0.00	9.00	0.00	0.00	-0,731793165	1.00	51,59999847
1.00	4.00	0.00	0.00	-1,447961926	1.00	15,60000038
0.00	3.00	0.00	0.00	-2,795918941	1.00	29.00
0.00	6.00	0.00	0.00	-1,59106493	0.00	140,5
1.00	5.00	0.00	1.00	-2,567565918	1.00	85.00
0.00	4.00	0.00	0.00	-0,998003006	1.00	0.00
0.00	3.00	0.00	1.00	-1,912755013	0.00	49,5
0.00	3.00	0.00	0.00	-1,728049994	1.00	39,5
1.00	4.00	0.00	1.00	-0,575158775	1.00	45.00
1.00	4.00	0.00	1.00	-1,836514711	1.00	29,5
0.00		0.00	1.00	1,645061255	1.00	43,79999924
1.00		0.00	1.00	-0,196394667	1.00	21.00
0.00	7.00	0.00	0.00	-0,665866256	0.00	284,6000061
1.00	6.00	0.00	0.00	-0,783965409	0.00	31,79999924
1.00	4.00	0.00	1.00	-1,512311339	1.00	43.00
0.00		0.00	1.00	1,250816226	1.00	120,5
0.00	4.00	0.00	1.00	-0,669995964	1.00	10.00
1.00	8.00	0.00	1.00	-0,507616639	1.00	121.00
0.00	6.00	0.00	0.00	-0,248454288	1.00	20.00
0.00	3.00	0.00	1.00	-1,710550785	0.00	123.00
0.00	7.00	0.00	0.00	-0,922472656	1.00	83,30000305
1.00	3.00	0.00	1.00	-2,38726449	1.00	23,20000076
0.00	3.00	0.00	0.00	0,023466	1.00	15,5
1.00	4.00	0.00	0.00	0,514374733	1.00	80,5
0.00	3.00	0.00	0.00	0,361784101	1.00	88,5
0.00	6.00	0.00	0.00	-1,654353023	1.00	69,5
0.00		0.00	1.00	-0,262026846	1.00	55.00
